Comment,Cycles,DeepSleep,Framerate,From,Geo,Hours,Id,LenAdjust,Noise,Rating,Sched,Snore,To,Tz
work #stress  #home,5,0.62886596,10,22. 04. 2015 0:18,e065c3d,7.530,1429654695891,-2,0.04581656,0.0,22. 04. 2015 8:00,0,22. 04. 2015 7:50,Europe/Vienna
work    #stress  #home,4,0.61616164,10,20. 04. 2015 23:18,e065c60,5.520,1429564717202,-2,0.03707783,1.75,21. 04. 2015 8:00,168,21. 04. 2015 4:50,Europe/Vienna
work         #home,4,0.4945055,10,20. 04. 2015 0:45,e065c60,6.330,1429483536483,-2,0.07680319,4.5,20. 04. 2015 8:00,0,20. 04. 2015 7:05,Europe/Vienna
 #newmoon    #home,7,0.5308642,10,19. 04. 2015 1:38,e065c60,7.860,1429400296454,-2,0.04859934,0.0,19. 04. 2015 9:30,0,19. 04. 2015 9:29,Europe/Vienna
work       #home,4,0.4939759,10,16. 04. 2015 0:17,e065c60,6.880,1429136226441,-2,0.046533886,0.0,16. 04. 2015 8:00,84,16. 04. 2015 7:10,Europe/Vienna
work     #home,3,0.6122449,10,15. 04. 2015 0:00,e065c60,6.570,1429048848689,-2,0.027513819,0.0,15. 04. 2015 8:00,84,15. 04. 2015 6:35,Europe/Vienna
work      #home,5,0.7032967,10,14. 04. 2015 1:33,e065c35,5.050,1428967982457,-2,0.018908847,2.75,14. 04. 2015 8:00,84,14. 04. 2015 6:35,Europe/Vienna
 #sport  #home,4,0.47126436,10,12. 04. 2015 23:43,e065c60,8.450,1428875033966,-2,0.05355415,3.75,25. 04. 2015 0:24,0,13. 04. 2015 8:10,Europe/Vienna
  #home,5,0.45882353,10,12. 04. 2015 0:13,e065c60,7.120,1428790425938,-2,0.022790754,0.0,12. 04. 2015 9:30,168,12. 04. 2015 7:21,Europe/Vienna
Manually added,-1,-1.0,10,11. 04. 2015 14:00,,3.570,1428753630745,0,0.0,0.0,11. 04. 2015 17:35,-1,11. 04. 2015 17:35,Europe/Vienna
  #home,5,0.5862069,10,11. 04. 2015 3:20,e065c60,4.830,1428715227813,-2,0.11785397,0.0,12. 04. 2015 9:30,0,11. 04. 2015 8:10,Europe/Vienna
work    #home,3,0.5113636,10,10. 04. 2015 0:05,e065c60,6.120,1428617112221,-2,0.12755229,0.0,10. 04. 2015 8:00,0,10. 04. 2015 6:12,Europe/Vienna
work     #home,4,0.505618,10,08. 04. 2015 23:56,e065c60,6.160,1428530214610,-2,0.073877804,0.0,09. 04. 2015 8:00,168,09. 04. 2015 6:06,Europe/Vienna
work   #home,5,0.74712646,10,08. 04. 2015 0:25,e065c60,7.270,1428445501597,-2,0.047474176,3.5,08. 04. 2015 8:00,84,08. 04. 2015 7:41,Europe/Vienna
work    #home,6,0.53488374,10,07. 04. 2015 0:30,e065c3d,7.170,1428359434667,-2,0.06183117,3.5,07. 04. 2015 8:00,168,07. 04. 2015 7:40,Europe/Vienna
work    #home,4,0.37037036,10,06. 04. 2015 0:15,e065c60,7.920,1428272141529,-2,0.1029845,3.75,06. 04. 2015 8:00,0,06. 04. 2015 8:10,Europe/Vienna
 #fullmoon   #home,4,0.5154639,10,04. 04. 2015 23:44,e065c60,8.630,1428183886938,-2,0.056475945,3.5,05. 04. 2015 9:30,84,05. 04. 2015 8:22,Europe/Vienna
  #home,2,0.70238096,10,03. 04. 2015 1:14,e065c60,3.500,1428016480738,-2,0.028281236,0.0,15. 04. 2015 1:55,0,03. 04. 2015 4:44,Europe/Vienna
work   #home,8,0.64634144,10,01. 04. 2015 22:59,e065c60,9.110,1427921991220,-2,0.07009922,0.0,02. 04. 2015 8:00,0,02. 04. 2015 8:06,Europe/Vienna
  #home,3,0.61627907,10,27. 03. 2015 22:35,e065c3d,3.580,1427492152135,-2,0.077639386,0.0,30. 03. 2015 8:00,84,28. 03. 2015 2:10,Europe/Vienna
work        #home,6,0.73333335,10,27. 03. 2015 0:21,e065c60,6.280,1427412102713,-2,0.022710942,0.0,27. 03. 2015 8:00,168,27. 03. 2015 6:38,Europe/Vienna
work  #stress  #home,4,0.45918366,10,26. 03. 2015 0:15,e065c60,7.600,1427325315333,-2,0.1250135,0.0,26. 03. 2015 8:00,0,26. 03. 2015 7:51,Europe/Vienna
work     #home,7,0.68235296,10,24. 03. 2015 23:33,e065c60,8.310,1427236387536,-2,0.035507943,4.0,25. 03. 2015 8:00,168,25. 03. 2015 7:51,Europe/Vienna
work  #alcohol  #home,3,0.65591395,10,24. 03. 2015 1:21,e065c35,3.870,1427156508708,-2,0.059176713,3.5,24. 03. 2015 8:00,0,24. 03. 2015 5:13,Europe/Vienna
work      #home,7,0.5714286,10,22. 03. 2015 22:40,e065c35,8.780,1427060441920,-2,0.046621878,4.5,23. 03. 2015 8:00,168,23. 03. 2015 7:27,Europe/Vienna
 #alcohol  #home,4,0.44705883,10,22. 03. 2015 1:20,e065c35,7.080,1426983602669,-2,0.14945278,0.0,23. 03. 2015 8:00,84,22. 03. 2015 8:24,Europe/Vienna
Manually added,-1,-1.0,10,21. 03. 2015 7:40,,3.000,1426920000000,0,0.0,0.0,21. 03. 2015 10:40,-1,21. 03. 2015 10:40,Europe/Vienna
Manually added,-1,-1.0,10,20. 03. 2015 23:40,,7.330,1426891200000,0,0.0,0.0,21. 03. 2015 7:00,-1,21. 03. 2015 7:00,Europe/Vienna
Manually added #newmoon,-1,-1.0,10,20. 03. 2015 5:00,,3.000,1426824011789,0,0.0,0.0,20. 03. 2015 8:00,-1,20. 03. 2015 8:00,Europe/Vienna
work  #stress  #home,8,0.7,10,18. 03. 2015 23:58,e065c35,7.800,1426719503694,-2,0.12443882,3.25,19. 03. 2015 8:00,924,19. 03. 2015 7:46,Europe/Vienna
