event,timestamp
LIGHT_START,1468975475255
DEEP_END,1468975475255
LIGHT_END,1468977088399
DEEP_START,1468977088399
LIGHT_START,1468978499900
DEEP_END,1468978499900
LIGHT_END,1468978903186
DEEP_START,1468978903186
LIGHT_START,1468980314687
DEEP_END,1468980314687
LIGHT_END,1468983742694
TRACKING_STOPPED_BY_USER,1468983742695
ALARM_EARLIEST,1468992300000
ALARM_LATEST,1468993500000
DEEP_START,1468878025946
TRACKING_PAUSED,1468878027385
TRACKING_RESUMED,1468878147811
REM_START,1468879280377
REM_END,1468880480377
LIGHT_START,1468880480377
DEEP_END,1468880480377
LIGHT_END,1468881181643
DEEP_START,1468881181643
REM_START,1468884189239
REM_END,1468885389239
LIGHT_START,1468885389239
DEEP_END,1468885389239
LIGHT_END,1468888544936
DEEP_START,1468888544936
REM_START,1468889799367
REM_END,1468890999367
LIGHT_START,1468890999367
DEEP_END,1468890999367
LIGHT_END,1468894155064
DEEP_START,1468894155064
REM_START,1468896461394
REM_END,1468897661394
LIGHT_START,1468897661394
DEEP_END,1468897661394
LIGHT_END,1468900817091
DEEP_START,1468900817091
LIGHT_START,1468902570256
DEEP_END,1468902570256
LIGHT_END,1468903271522
DEEP_START,1468903271522
LIGHT_START,1468904674054
DEEP_END,1468904674054
ALARM_EARLIEST,1468905900000
ALARM_STARTED,1468906049775
ALARM_SNOOZE,1468906093416
ALARM_STARTED,1468906393633
ALARM_SNOOZE,1468906425168
ALARM_STARTED,1468907025596
ALARM_SNOOZE,1468907051721
ALARM_LATEST,1468907100000
ALARM_STARTED,1468907111747
ALARM_DISMISS,1468907128243
LIGHT_END,1468907128488
DEEP_START,1468787451349
TRACKING_PAUSED,1468787452415
TRACKING_RESUMED,1468787573136
LIGHT_START,1468788849589
DEEP_END,1468788849589
LIGHT_END,1468789199149
DEEP_START,1468789199149
REM_START,1468790795629
REM_END,1468791995629
LIGHT_START,1468791995629
DEEP_END,1468791995629
LIGHT_END,1468793393869
DEEP_START,1468793393869
LIGHT_START,1468794792109
DEEP_END,1468794792109
LIGHT_END,1468795491229
DEEP_START,1468795491229
REM_START,1468797087709
REM_END,1468798287709
LIGHT_START,1468798287709
DEEP_END,1468798287709
LIGHT_END,1468799685949
DEEP_START,1468799685949
REM_START,1468800932869
REM_END,1468802132869
LIGHT_START,1468802132869
DEEP_END,1468802132869
LIGHT_END,1468809124069
DEEP_START,1468809124069
LIGHT_START,1468811221429
DEEP_END,1468811221429
LIGHT_END,1468816115279
TRACKING_STOPPED_BY_USER,1468816115280
ALARM_EARLIEST,1468819500000
ALARM_LATEST,1468820700000
DEEP_START,1468716282648
TRACKING_PAUSED,1468716284884
TRACKING_RESUMED,1468716405360
REM_START,1468719670389
REM_END,1468720870389
LIGHT_START,1468720870389
DEEP_END,1468720870389
LIGHT_END,1468721269323
DEEP_START,1468721269323
REM_START,1468723260795
REM_END,1468724460795
LIGHT_START,1468724460795
DEEP_END,1468724460795
LIGHT_END,1468727253333
DEEP_START,1468727253333
LIGHT_START,1468729248003
DEEP_END,1468729248003
LIGHT_END,1468732240008
DEEP_START,1468732240008
LIGHT_START,1468733436810
DEEP_END,1468733436810
ALARM_EARLIEST,1468734600000
ALARM_STARTED,1468734616086
ALARM_DISMISS,1468734633501
LIGHT_END,1468734633662
ALARM_LATEST,1468736400000
DEEP_START,1468530809437
TRACKING_PAUSED,1468530812164
TRACKING_RESUMED,1468530932782
REM_START,1468533844477
REM_END,1468535044477
LIGHT_START,1468535044477
DEEP_END,1468535044477
LIGHT_END,1468535542717
DEEP_START,1468535542717
LIGHT_START,1468537286557
DEEP_END,1468537286557
LIGHT_END,1468539030397
DEEP_START,1468539030397
REM_START,1468541567197
REM_END,1468542767197
LIGHT_START,1468542767197
DEEP_END,1468542767197
LIGHT_END,1468545756637
DEEP_START,1468545756637
LIGHT_START,1468547998717
DEEP_END,1468547998717
LIGHT_END,1468551984668
TRACKING_STOPPED_BY_USER,1468551984669
ALARM_EARLIEST,1468560300000
ALARM_LATEST,1468561500000
DEEP_START,1468448498644
TRACKING_PAUSED,1468448499646
TRACKING_RESUMED,1468448620268
REM_START,1468456093169
REM_END,1468457293169
LIGHT_START,1468457293169
DEEP_END,1468457293169
LIGHT_END,1468457644950
DEEP_START,1468457644950
REM_START,1468459610979
REM_END,1468460810979
LIGHT_START,1468460810979
DEEP_END,1468460810979
LIGHT_END,1468466087694
DEEP_START,1468466087694
REM_START,1468468053723
REM_END,1468469253723
LIGHT_START,1468469253723
DEEP_END,1468469253723
ALARM_EARLIEST,1468475700000
ALARM_STARTED,1468476161696
ALARM_SNOOZE,1468476180873
ALARM_STARTED,1468476481185
ALARM_SNOOZE,1468476496667
ALARM_LATEST,1468476900000
ALARM_STARTED,1468476916723
ALARM_SNOOZE,1468476941056
ALARM_STARTED,1468477361102
ALARM_SNOOZE,1468477380593
ALARM_STARTED,1468477620900
ALARM_SNOOZE,1468477629571
ALARM_STARTED,1468478049991
ALARM_SNOOZE,1468478072224
LIGHT_END,1468478400112
TRACKING_STOPPED_BY_USER,1468478400113
DEEP_START,1468362340657
TRACKING_PAUSED,1468362341943
TRACKING_RESUMED,1468362462237
REM_START,1468364663463
REM_END,1468365863463
LIGHT_START,1468365863463
DEEP_END,1468365863463
LIGHT_END,1468366366721
DEEP_START,1468366366721
LIGHT_START,1468367876495
DEEP_END,1468367876495
LIGHT_END,1468369889527
DEEP_START,1468369889527
LIGHT_START,1468371147672
DEEP_END,1468371147672
LIGHT_END,1468372909075
DEEP_START,1468372909075
LIGHT_START,1468374418849
DEEP_END,1468374418849
LIGHT_END,1468383729146
TRACKING_STOPPED_BY_USER,1468383729147
ALARM_EARLIEST,1468389300000
ALARM_LATEST,1468390500000
LIGHT_START,1468274152915
TRACKING_PAUSED,1468274154399
TRACKING_RESUMED,1468274274793
LIGHT_END,1468290193399
DEEP_START,1468290193399
LIGHT_START,1468292444695
DEEP_END,1468292444695
LIGHT_END,1468302012707
TRACKING_STOPPED_BY_USER,1468302012708
ALARM_EARLIEST,1468302900000
ALARM_LATEST,1468304100000
DEEP_START,1468194456245
TRACKING_PAUSED,1468194458098
TRACKING_RESUMED,1468194578657
REM_START,1468195892076
REM_END,1468197092076
LIGHT_START,1468197092076
DEEP_END,1468197092076
LIGHT_END,1468197571318
DEEP_START,1468197571318
REM_START,1468200205254
REM_END,1468201405254
LIGHT_START,1468201405254
DEEP_END,1468201405254
LIGHT_END,1468201644875
DEEP_START,1468201644875
LIGHT_START,1468203801464
