datetime,event
08/07/16 21:36,exited
11/07/16 09:28,entered
11/07/16 18:40,exited
12/07/16 09:03,entered
12/07/16 20:46,exited
13/07/16 10:04,entered
13/07/16 22:46,exited
14/07/16 09:38,entered
15/07/16 08:51,entered
15/07/16 18:59,exited
16/07/16 20:01,entered
16/07/16 20:02,exited
18/07/16 09:23,entered
18/07/16 19:59,exited
18/07/16 20:01,entered
18/07/16 20:02,exited
18/07/16 21:32,entered
19/07/16 09:02,entered
19/07/16 19:06,exited
22/07/16 08:58,entered
22/07/16 21:38,exited
23/07/16 20:59,entered
24/07/16 17:01,entered
25/07/16 09:18,entered
25/07/16 19:21,exited
26/07/16 09:02,entered
26/07/16 15:46,exited
26/07/16 15:52,entered
26/07/16 21:39,exited
27/07/16 08:55,entered
27/07/16 19:17,exited
27/07/16 19:18,entered
27/07/16 19:19,exited
27/07/16 23:56,entered
28/07/16 09:17,entered
28/07/16 20:52,exited
28/07/16 21:03,entered
28/07/16 22:59,exited
29/07/16 08:54,entered
29/07/16 09:02,exited
29/07/16 12:38,entered
29/07/16 12:42,exited
29/07/16 12:44,entered
29/07/16 19:04,exited
30/07/16 16:14,entered
30/07/16 19:55,exited
31/07/16 17:24,entered
31/07/16 22:48,exited
01/08/16 09:04,entered
01/08/16 12:37,exited
01/08/16 12:47,entered
01/08/16 13:00,exited
01/08/16 13:04,entered
01/08/16 19:07,exited
02/08/16 09:01,entered
02/08/16 22:03,exited
03/08/16 09:21,entered
03/08/16 18:47,exited
04/08/16 12:52,entered
04/08/16 13:04,entered
04/08/16 13:13,entered
04/08/16 13:36,exited
05/08/16 10:17,entered
05/08/16 18:37,exited
10/08/16 07:54,entered
10/08/16 18:22,exited
11/08/16 09:19,entered
11/08/16 20:12,exited
12/08/16 08:49,entered
12/08/16 17:51,exited
