"November 26, 2015 at 11:01PM","exited"
"November 27, 2015 at 08:54AM","entered"
"November 27, 2015 at 08:19PM","exited"
"November 28, 2015 at 02:31PM","entered"
"November 29, 2015 at 05:06PM","entered"
"November 29, 2015 at 05:28PM","exited"
"November 30, 2015 at 08:49AM","entered"
"December 01, 2015 at 09:51AM","entered"
"December 01, 2015 at 06:49PM","exited"
"December 01, 2015 at 10:39PM","entered"
"December 01, 2015 at 10:43PM","exited"
"December 02, 2015 at 09:42AM","entered"
"December 02, 2015 at 09:07PM","exited"
"December 03, 2015 at 09:34AM","entered"
"December 03, 2015 at 10:22PM","exited"
"December 04, 2015 at 08:54AM","entered"
"December 07, 2015 at 09:51AM","entered"
"December 07, 2015 at 09:52AM","exited"
"December 07, 2015 at 09:53AM","entered"
"December 07, 2015 at 05:27PM","exited"
"December 07, 2015 at 05:28PM","entered"
"December 08, 2015 at 01:08AM","entered"
"December 08, 2015 at 03:52PM","entered"
"December 08, 2015 at 05:03PM","entered"
"December 09, 2015 at 09:18AM","entered"
"December 09, 2015 at 06:15PM","exited"
"December 09, 2015 at 11:46PM","entered"
"December 09, 2015 at 11:49PM","exited"
"December 10, 2015 at 11:14AM","entered"
"December 11, 2015 at 08:51AM","entered"
"December 11, 2015 at 11:06AM","exited"
"December 11, 2015 at 11:40AM","entered"
"December 11, 2015 at 06:44PM","exited"
"December 12, 2015 at 02:30AM","entered"
"December 12, 2015 at 03:24AM","exited"
"December 13, 2015 at 04:24PM","entered"
"December 13, 2015 at 10:00PM","exited"
"December 14, 2015 at 09:37AM","entered"
"December 15, 2015 at 10:49PM","exited"
"December 16, 2015 at 10:29AM","entered"
"December 16, 2015 at 05:02PM","entered"
"December 16, 2015 at 08:43PM","exited"
"December 17, 2015 at 08:57AM","entered"
"December 17, 2015 at 03:03PM","exited"
"December 18, 2015 at 01:45PM","entered"
"December 21, 2015 at 08:23PM","entered"
"December 21, 2015 at 08:27PM","exited"
"December 21, 2015 at 10:55PM","entered"
"December 21, 2015 at 10:56PM","exited"
"December 21, 2015 at 10:59PM","entered"
"December 21, 2015 at 11:02PM","exited"
"December 28, 2015 at 10:43AM","entered"
"December 28, 2015 at 01:56PM","entered"
"December 28, 2015 at 06:23PM","exited"
"December 29, 2015 at 10:24AM","entered"
"December 29, 2015 at 07:42PM","exited"
"December 30, 2015 at 09:48AM","entered"
"December 30, 2015 at 05:10PM","exited"
"December 31, 2015 at 09:05PM","entered"
"December 31, 2015 at 11:54PM","entered"
"January 01, 2016 at 02:24AM","exited"
"January 04, 2016 at 09:30AM","entered"
"January 04, 2016 at 08:02PM","exited"
"January 05, 2016 at 09:18AM","entered"
"January 05, 2016 at 08:01PM","exited"
"January 08, 2016 at 08:55AM","entered"
"January 08, 2016 at 07:24PM","exited"
"January 09, 2016 at 09:48PM","entered"
"January 09, 2016 at 10:15PM","exited"
"January 10, 2016 at 03:54AM","entered"
"January 10, 2016 at 04:03AM","exited"
"January 11, 2016 at 09:32AM","entered"
"January 11, 2016 at 07:03PM","exited"
"January 12, 2016 at 08:51AM","entered"
"January 12, 2016 at 10:25PM","exited"
"January 12, 2016 at 10:49PM","exited"
"January 13, 2016 at 09:20AM","entered"
"January 13, 2016 at 01:53PM","exited"
"January 13, 2016 at 03:25PM","entered"
"January 13, 2016 at 07:42PM","exited"
"January 14, 2016 at 09:01AM","entered"
"January 14, 2016 at 08:53PM","exited"
"January 15, 2016 at 09:00AM","entered"
"January 15, 2016 at 07:58PM","exited"
"January 18, 2016 at 09:56AM","entered"
"January 18, 2016 at 10:09PM","exited"
"January 19, 2016 at 10:16AM","entered"
"January 19, 2016 at 07:13PM","exited"
"January 20, 2016 at 10:01AM","entered"
"January 20, 2016 at 03:08PM","entered"
"January 21, 2016 at 09:09AM","entered"
"January 21, 2016 at 05:34PM","exited"
"January 22, 2016 at 08:49AM","entered"
"January 22, 2016 at 07:15PM","exited"
"January 24, 2016 at 01:30AM","entered"
"January 24, 2016 at 01:34AM","exited"
"January 25, 2016 at 09:12AM","entered"
"January 25, 2016 at 08:12PM","exited"
"January 26, 2016 at 08:44AM","entered"
"January 26, 2016 at 08:52PM","exited"
"January 27, 2016 at 09:14AM","entered"
"January 27, 2016 at 07:15PM","exited"
"January 28, 2016 at 08:53AM","entered"
"January 28, 2016 at 11:06AM","exited"
"January 28, 2016 at 11:08AM","entered"
"January 28, 2016 at 11:12AM","exited"
"January 28, 2016 at 01:33PM","entered"
"January 28, 2016 at 02:23PM","entered"
"January 28, 2016 at 04:44PM","entered"
"January 28, 2016 at 06:41PM","exited"
"January 29, 2016 at 11:59PM","exited"
"January 30, 2016 at 07:57PM","exited"
"February 01, 2016 at 09:46AM","entered"
"February 01, 2016 at 07:44PM","exited"
"February 02, 2016 at 01:21PM","exited"
"February 02, 2016 at 03:03PM","entered"
"February 02, 2016 at 07:48PM","exited"
"February 03, 2016 at 09:18AM","entered"
"February 03, 2016 at 06:03PM","exited"
"February 04, 2016 at 08:21AM","entered"
"February 04, 2016 at 07:09PM","exited"
"February 05, 2016 at 08:57AM","entered"
"February 05, 2016 at 06:29PM","exited"
"February 06, 2016 at 02:10PM","entered"
"February 06, 2016 at 07:05PM","exited"
"February 08, 2016 at 09:00AM","entered"
"February 09, 2016 at 09:14AM","entered"
"February 09, 2016 at 07:58PM","exited"
"February 10, 2016 at 09:36AM","entered"
"February 11, 2016 at 09:34AM","entered"
"February 11, 2016 at 05:58PM","exited"
"February 12, 2016 at 05:56PM","exited"
"February 13, 2016 at 12:51PM","entered"
"February 13, 2016 at 04:06PM","exited"
"February 13, 2016 at 09:02PM","entered"
"February 13, 2016 at 09:41PM","exited"
"February 13, 2016 at 09:46PM","entered"
"February 13, 2016 at 09:51PM","exited"
"February 15, 2016 at 08:49AM","entered"
"February 15, 2016 at 03:08PM","exited"
"February 15, 2016 at 03:18PM","entered"
"February 15, 2016 at 09:54PM","exited"
"February 16, 2016 at 10:01AM","entered"
"February 16, 2016 at 08:32PM","exited"
"February 17, 2016 at 09:32AM","entered"
"February 17, 2016 at 12:57PM","exited"
"February 17, 2016 at 01:10PM","entered"
"February 17, 2016 at 05:35PM","exited"
"February 18, 2016 at 08:57AM","entered"
"February 18, 2016 at 02:52PM","exited"
"February 22, 2016 at 09:23AM","entered"
"February 22, 2016 at 06:43PM","exited"
"February 23, 2016 at 08:02AM","entered"
"February 23, 2016 at 02:16PM","exited"
"February 23, 2016 at 03:04PM","entered"
"February 23, 2016 at 07:34PM","exited"
"February 24, 2016 at 12:12AM","entered"
"February 24, 2016 at 12:14AM","exited"
"February 24, 2016 at 09:19AM","entered"
"February 24, 2016 at 06:44PM","exited"
"February 25, 2016 at 09:21AM","entered"
"February 25, 2016 at 02:21PM","exited"
"February 25, 2016 at 02:43PM","entered"
"February 25, 2016 at 05:49PM","exited"
"February 26, 2016 at 07:03PM","exited"
"February 27, 2016 at 09:31PM","entered"
